"MovieName","Rank","Score","CommentNumber","Link","Quote"
"香水",212,"8.5","397396","https://movie.douban.com/subject/1760622/","一个单凭体香达到高潮的男人。"
"猜火车",213,"8.5","326761","https://movie.douban.com/subject/1292528/","不可猜的青春迷笛。 "
"谍影重重2",214,"8.6","244195","https://movie.douban.com/subject/1308767/","谁说王家卫镜头很晃？"
"无耻混蛋",215,"8.6","331450","https://movie.douban.com/subject/1438652/","昆汀同学越来越变态了，比北野武还杜琪峰。"
"绿里奇迹",216,"8.8","173677","https://movie.douban.com/subject/1300374/","天使暂时离开。"
"谍影重重",217,"8.6","291878","https://movie.douban.com/subject/1304102/","哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。"
"战争之王",218,"8.6","247770","https://movie.douban.com/subject/1419936/","做一颗让别人需要你的棋子。"
"小偷家族",219,"8.7","530901","https://movie.douban.com/subject/27622447/","我们组成了家。"
"新龙门客栈",220,"8.6","293664","https://movie.douban.com/subject/1292287/","嬉笑怒骂，调风动月。"
"青蛇",221,"8.5","339468","https://movie.douban.com/subject/1303394/","人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。"
"地球上的星星",222,"8.9","137896","https://movie.douban.com/subject/2363506/","天使保护事件始末。"
"源代码",223,"8.4","567466","https://movie.douban.com/subject/3075287/","邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。"
"浪潮",224,"8.7","190802","https://movie.douban.com/subject/2297265/","世界离独裁只有五天。"
"朗读者",225,"8.5","354433","https://movie.douban.com/subject/2213597/","当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 "
"城市之光",226,"9.3","78321","https://movie.douban.com/subject/1293908/","永远的小人物，伟大的卓别林。"
"血钻",227,"8.6","230756","https://movie.douban.com/subject/1428175/","每个美丽事物背后都是滴血的现实。"
"步履不停",228,"8.8","163173","https://movie.douban.com/subject/2222996/","日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。"
"彗星来的那一夜",229,"8.5","325834","https://movie.douban.com/subject/25807345/","小成本大魅力。"
"疯狂的麦克斯4：狂暴之路",230,"8.6","340804","https://movie.douban.com/subject/3592854/","“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~"
"再次出发之纽约遇见你",231,"8.5","278599","https://movie.douban.com/subject/6874403/","爱我就给我看你的播放列表。"
"小萝莉的猴神大叔",232,"8.4","321209","https://movie.douban.com/subject/26393561/","宝莱坞的萝莉与大叔。"
"色，戒",233,"8.4","434164","https://movie.douban.com/subject/1828115/","假戏真情，爱欲深海"
"追随",234,"8.9","122018","https://movie.douban.com/subject/1397546/","诺兰的牛逼来源于内心散发出的恐惧。"
"大佛普拉斯",235,"8.7","238694","https://movie.douban.com/subject/27059130/","人们可以登上月球，却永远无法探索人们内心的宇宙。"
"遗愿清单",236,"8.6","231610","https://movie.douban.com/subject/1867345/","用剩余不多的时间，去燃烧整个生命。"
"一次别离",237,"8.7","185212","https://movie.douban.com/subject/5964718/","只有有信仰的人才能说出事实真相。"
"东京物语",238,"9.2","83514","https://movie.douban.com/subject/1291568/","东京那么大，如果有一天走失了，恐怕一辈子不能再相见。"
"聚焦",239,"8.8","193633","https://movie.douban.com/subject/25954475/","新闻人的理性求真。"
"驴得水",240,"8.3","603347","https://movie.douban.com/subject/25921812/","过去的如果就让它过去了，未来只会越来越糟！"
"黑鹰坠落",241,"8.7","193726","https://movie.douban.com/subject/1291824/","还原真实而残酷的战争。"
"发条橙",242,"8.5","265918","https://movie.douban.com/subject/1292233/","我完全康复了。"
"撞车",243,"8.6","238648","https://movie.douban.com/subject/1388216/","天使与魔鬼的冲撞。"
"我爱你",244,"9.0","98792","https://movie.douban.com/subject/5908478/","你要相信，这世上真的有爱存在，不管在什么年纪 "
"千钧一发",245,"8.8","155223","https://movie.douban.com/subject/1300117/","一部能引人思考的科幻励志片。"
"E.T. 外星人",246,"8.6","239108","https://movie.douban.com/subject/1294638/","生病的E.T.皮肤的颜色就像柿子饼。"
